threshold_kw,fee_per_hour,smoothing_width_kw,n_training_restarts,n_selected_batches,n_days,mean_learned_cost,mean_deterministic_cost,mean_no_storage_cost,learned_minus_deterministic,learned_minus_no_storage,mean_terminal_penalty,mean_smooth_minus_hard_cost,mean_exact_threshold_hours,mean_near_5kw_hours,mean_near_10kw_hours,mean_near_20kw_hours
300,40,10,25,5,30,1489.1358404343332,1464.8109066014536,1750.5979631228038,24.32493383288003,-261.46212268847,0.372267936669749,225.53942301265826,11.165000000000008,11.171666666666674,11.253333333333341,11.378333333333341
300,40,20,1,1,30,1493.3760180704035,1464.8109066014536,1750.5979631228038,28.5651114689499,-257.22194505240003,0.24137877427727103,214.68611194326422,10.475000000000003,10.475000000000003,10.550000000000006,10.650000000000006
300,80,5,1,1,30,1800.3395448842457,1782.2062300664372,2621.264629789473,18.1333148178085,-820.9250849052274,0.6826296521283679,622.1639798522028,15.558333333333367,15.558333333333367,15.5666666666667,15.600000000000032
300,80,10,5,1,30,1769.7049941859927,1782.2062300664372,2621.264629789473,-12.50123588044452,-851.5596356034804,0.4151262285334995,639.9518480720319,15.975000000000032,15.975000000000032,16.016666666666698,16.016666666666698
300,80,20,1,1,30,1772.825395062494,1782.2062300664372,2621.264629789473,-9.380835003942995,-848.4392347269787,1.2512923056396912,644.0455281096348,16.083333333333364,16.0916666666667,16.0916666666667,16.108333333333366
350,20,5,1,1,30,1206.8242994639845,1208.8824174027607,1291.931296456135,-2.058117938775975,-85.10699699215044,0.24218878463160515,90.02204070198393,8.958333333333332,9.008333333333331,9.041666666666664,9.099999999999998
350,20,10,1,1,30,1212.6162648907828,1208.8824174027607,1291.931296456135,3.733847488022453,-79.31503156535203,0.4265647860086797,78.34164877911199,7.349999999999994,7.624999999999996,7.8333333333333295,7.999999999999996
350,20,20,1,1,30,1218.1385375798225,1208.8824174027607,1291.931296456135,9.256120177061943,-73.79275887631255,0.38106270252406876,74.67065606582811,6.749999999999995,6.983333333333329,7.199999999999997,7.3833333333333275
350,40,5,1,1,30,1412.9644819132727,1381.7268688893212,1703.9312964561364,31.237613023951553,-290.9668145428637,0.33418444620716664,238.60097022729593,11.808333333333344,11.900000000000013,12.008333333333349,12.125000000000016
350,40,10,1,1,30,1422.5101421058873,1381.7268688893212,1703.9312964561364,40.78327321656654,-281.4211543502486,0.291852512699311,241.23433828266843,11.84166666666668,11.933333333333348,12.041666666666682,12.166666666666682
350,40,20,1,1,30,1400.974411614278,1381.7268688893212,1703.9312964561364,19.24754272495705,-302.9568848418581,0.2921983548882175,267.9049179223909,12.891666666666685,13.058333333333353,13.233333333333354,13.391666666666689
350,80,5,1,1,30,1622.414588552857,1652.0997253917178,2527.9312964561386,-29.685136838860974,-905.5167079032818,6.41089551386436,685.3863666766555,17.11666666666669,17.14166666666669,17.150000000000023,17.183333333333355
350,80,10,1,1,30,1621.352300320907,1652.0997253917178,2527.9312964561386,-30.74742507081082,-906.5789961352316,8.117002780475875,687.210073399645,17.175000000000022,17.183333333333355,17.183333333333355,17.191666666666688
350,80,20,1,1,30,1618.6310062908185,1652.0997253917178,2527.9312964561386,-33.468719100899385,-909.3002901653202,9.466584748320084,693.5579150590588,17.30833333333335,17.30833333333335,17.30833333333335,17.341666666666686
